"Impact_Direction","Status","Location","Country_Territory","Sub_Region","Latitude","Longitude","Coordinate_Precision","Coordinate_Note","Description","Source","Source_URL"
"Negative","At risk","Pago Pago & Faga'itua Bay","American Samoa (United States)","Polynesia","-14.2800","-170.7000","Approximate","Pago Pago harbour; Faga'itua Bay lies approx. 10 km east.","Post-2009 earthquake land subsidence is estimated to produce roughly twice as much sea-level rise by 2060 as climate change alone, putting coastal impacts decades ahead of comparable Pacific communities. Modelling predicts rising seas will escalate nearshore extreme water levels as the fringing reef loses capacity to dissipate wave energy. High-tide flooding projected to rise from 0 to 102 events per year.","Pacific Islands CASC; Barnes et al., Scientific Reports (2024)","https://pi-casc.soest.hawaii.edu/research/research-projects/slr-viewer-american-samoa/"
"Negative","At risk","Penrhyn (Tongareva)","Cook Islands","Polynesia","-9.0051","-157.9762","Verified point","","High-tide flooding projected to increase from 5 to 43 events per year.","WMO, State of the Climate in the South-West Pacific","https://wmo.int/news/media-centre/climate-change-transforms-pacific-islands"
"Negative","At risk","Papeete, Tahiti","French Polynesia (France)","Polynesia","-17.5400","-149.5700","Approximate","","High-tide flooding projected to increase from 5 to 34 events per year.","WMO, State of the Climate in the South-West Pacific","https://wmo.int/news/media-centre/climate-change-transforms-pacific-islands"
"Negative","At risk","Guam","United States (Guam)","Micronesia","13.4400","144.7900","National centroid","Territory centroid.","High-tide flooding projected to increase from 2 to 22 events per year.","WMO, State of the Climate in the South-West Pacific","https://wmo.int/news/media-centre/climate-change-transforms-pacific-islands"
"Negative","At risk","Rangiroa Atoll (incl. Avatoru)","French Polynesia (France)","Polynesia","-15.1162","-147.6513","Atoll/group centroid","Avatoru village approx. 14.94S 147.70W.","High-tide water levels modelled under SSP1-2.6 and SSP5-8.5 across twelve islands show lagoon-side land loss on several. On Avatoru, urbanisation, swamp and coastal reclamation and sediment extraction destabilised the lagoon coast, while intense beach mining drove rapid ocean-side shoreline retreat.","Duvat, Magnan et al., Scientific Reports 12 (2022)","https://www.nature.com/articles/s41598-022-18109-8"
"Negative","At risk","Tikehau Atoll","French Polynesia (France)","Polynesia","-15.0084","-148.1758","Atoll/group centroid","","Of 931 houses surveyed across Rangiroa and Tikehau, more than 61% sit in areas that experienced at least one substantial marine inundation event since the 1980s. Based on 106 interviews.","Magnan, Ranche, Duvat et al., VertigO (open access, French)","https://journals.openedition.org/vertigo/23607?lang=en"
"Negative","At risk","Vunisavisavi & Muani","Fiji","Melanesia","-16.7799","179.3381","Representative point","Vunisavisavi shown (near Savusavu, Vanua Levu). Muani is a separate village; coordinates not confirmed.","At Vunisavisavi, shoreline erosion threatens homes and a sacred gravesite, with residents planting mangroves as coastal defence. At Muani, the seawall is now overtopped, culverts filled and imported rock and sand eroded away; the village has decided to move.","Washington Post field reporting (August 2025)","https://www.washingtonpost.com/world/2025/08/08/fiji-climate-change-village-relocation/"
"Negative","At risk","Fiji (national)","Fiji","Melanesia","-17.7134","178.0650","National centroid","Fiji country centroid, on Viti Levu. Row covers 800+ at-risk communities across the archipelago, not a single site.","Over 800 communities identified as at climate risk, with 48 villages requiring partial or full relocation. An August 2025 reassessment raised the eventual figure to as many as 676 communities, with 17 villages on a red list for urgent intervention. Legal mandate set by the Climate Change Act 2021, working with the CROC Trust Fund (2019) and the 2018 Planned Relocation Guidelines.","Fiji Planned Relocation Guidelines (2018); Standard Operating Procedures for Planned Relocation (2023)","https://fijiclimatechangeportal.gov.fj/wp-content/uploads/2022/01/Planned-Relocation-Guidelines_Fiji.pdf"
"Mixed / Contested","Contested attribution","Tebunginako, Abaiang Atoll","Kiribati","Micronesia","2.0000","173.0000","Atoll/group centroid","Abaiang atoll centroid; Tebunginako village lies on the atoll's western side.","Abandoned in 1994; residents relocated about 50 m inland and the original site now sits roughly 30 m offshore. Taro pits more than 200 m from the coast are being killed by king tides. CAVEAT: a South Pacific Applied Geoscience Commission technical report (Webb, 2006) attributed the primary cause to natural erosion from an ocean/lagoon channel blocked by villagers over a century earlier.","Government of Kiribati climate portal; Webb, SOPAC technical report (2006)","https://www.climate.gov.ki/case-studies/abaiang/"
"Mixed / Contested","Contested attribution","Lateu / Lataw village, Tegua Island (Torres Islands)","Vanuatu","Melanesia","-13.2461","166.6297","Verified point","Tegua island point; relocated settlement (Lirak) sits approx. 600 m inland.","Village moved several hundred metres inland in 2002-04 with Vanuatu government and Canadian aid; a 2005 UNEP release described the residents as perhaps the world's first climate change refugees. CAVEAT: a PNAS study found that from 1997 to 2009 absolute sea level rose 150 +/- 20 mm while the islands themselves subsided 117 +/- 30 mm, tectonic motion nearly doubling the apparent rise.","Ballu et al., PNAS (2011); UNEP release via UN News","https://www.pnas.org/doi/10.1073/pnas.1102842108"
"Mixed / Contested","Contested attribution","Carteret Islands (Han, Huene, Piul, Iolasa, Iangain)","Papua New Guinea","Melanesia","-4.7406","155.3896","Atoll/group centroid","","Peak elevation just 1.5 m. Tulele Peisa, formed by the Council of Elders in 2006, is organising voluntary relocation of around 3,300 people to Tinputz, Tearouki and Mabiri on Bougainville. K14 million sought to move 350 families, with no government funding contributed as of 2022. CAVEAT: erosion, tectonic subsidence and population pressure all contribute.","UNU Our World; PINA; Boege & Rakova (2023)","https://ourworld.unu.edu/en/how-to-guide-for-environmental-refugees"
"Mixed / Contested","Contested attribution","Tasman, Mortlock & Nuguria atolls","Papua New Guinea","Melanesia","-4.7500","156.9778","Representative point","Takuu (Mortlock) Atoll shown as the central of the three. Nuguria approx. 3.3333S 154.7500E; Tasman (Nukumanu) approx. 4.5311S 159.4294E. Split into separate rows if mapping individually.","Roughly 2,500 people facing the same combination of pressures as the Carteret Islands.","Boege & Rakova, Challenges and Pitfalls of Resettlement","https://link.springer.com/chapter/10.1007/978-94-007-6208-4_7"
"Positive","Adaptation - land creation","Fogafale islet, Funafuti","Tuvalu","Polynesia","-8.5205","179.1980","Verified point","Reclaimed platform runs 780 m along the lagoon shoreline.","The flagship Pacific land-building project. From December 2022, sand dredged from the lagoon built a platform 780 m long and 100 m wide (about 7.8 ha), designed to stay above sea-level rise and storm waves beyond 2100. A second phase completed a further 8 hectares of reclaimed, elevated land in October 2025, funded at US$17.5m by Australia, New Zealand and the United States. TCAP 1B is planned for the northern shoreline.","UNDP Tuvalu Coastal Adaptation Project; Green Climate Fund FP015","https://www.undp.org/pacific/tcap"
"Positive","Adaptation - coastal defence","Nanumaga & Nanumea","Tuvalu","Polynesia","-6.2858","176.3199","Representative point","Nanumaga shown. Nanumea approx. 5.6614S 176.1036E.","Berm Top Barriers, geotextile bags filled with sand raising the natural storm berm by an extra 1.5 m, built along 665 m and 1,330 m of foreshore respectively to protect homes, schools, hospitals, farmland and cultural assets.","UNDP Pacific","https://www.undp.org/pacific/press-releases/australia-and-new-zealand-back-second-phase-tuvalu-coastal-adaptation-project-beat-sea-level-rise"
"Positive","Adaptation - stalled","Temaiku, South Tarawa","Kiribati","Micronesia","1.3600","173.1500","Approximate","Eastern end of South Tarawa; project site not independently confirmed.","The most ambitious plan attempted, and a cautionary tale. Designed to reclaim 300 hectares of swampy land and raise it 2-5 m to house 35,000 people, resilient to projected 2200 ocean levels. New Zealand's MFAT dropped funding in 2021 as costs escalated; roughly NZ$4.2m of a NZ$20m budget had been spent and the project stalled.","Jacobs project page; Stimson CORVI Tarawa assessment","https://www.jacobs.com/projects/kiribati"
"Positive","Adaptation - programme","South Tarawa (Kiribati Adaptation Program)","Kiribati","Micronesia","1.3500","172.9800","Approximate","South Tarawa spans roughly 30 km of atoll rim.","Covers water supply management, mangrove replanting, protection of public infrastructure, strengthened laws to reduce coastal erosion and settlement planning. Two desalination plants began construction in April 2022 with ADB, World Bank, GCF and GEF support.","Stimson CORVI Tarawa assessment; SPC Kiribati adaptation briefing","https://www.stimson.org/2022/corvi-risk-profile-tarawa-kiribati/"
"Positive","Adaptation - indigenous, under threat","Langa Langa & Lau Lagoons, Malaita","Solomon Islands","Melanesia","-8.8775","160.7450","Representative point","Langa Langa Lagoon shown. Lau Lagoon approx. 8.4636S 160.8528E on the northeast coast.","Centuries-old artificial islands built by hand from coral and stone, now facing the sea that once protected them. About 12,000 people live across the two lagoons; Langa Langa contains thirteen islands along a 21 km lagoon and Lau Lagoon around 60. On Busu Island (pop. 300) high tides now flood most of the island almost every month. Residents on Raolo are building their island higher and planting mangroves; Busu's community weighs the cost of buying and shipping stone from the mainland.","ReliefWeb / IPS; EMKP Fera i asi documentation project","https://reliefweb.int/report/solomon-islands/where-sea-has-risen-too-high-already"
"Positive","Land area gain (physical only)","Jaluit Atoll","Marshall Islands","Micronesia","6.0090","169.5154","Verified point","","Typhoon Ophelia cut total island land area by about 5%, yet between 1976 and 2006, 73 of 87 islands increased in size, and by 2010 total landmass exceeded the pre-typhoon area by nearly 4%. NOTE: area gain does not raise island elevation.","Ford & Kench (2016), Anthropocene","https://www.sciencedirect.com/science/article/pii/S2213305415300199"
"Positive","Land area gain (physical only)","Marshall Islands (6 atolls, 2 reef islands)","Marshall Islands","Micronesia","7.1315","171.1845","National centroid","Marshall Islands country centroid. Row covers six atolls and two mid-ocean reef islands across the RMI.","Since the mid-20th century, 39.74% of shoreline accreted versus 17.23% eroded, with islands growing from 9.09 sq km to 9.46 sq km between WWII and 2010. Accretion has slowed from 0.77 m/decade to 0.29 m/decade. The authors stress adaptation plans need this dynamism understood to avoid maladaptation.","Ford & Kench, Multi-decadal shoreline changes in response to sea level rise in the Marshall Islands, Anthropocene (2015)","https://www.sciencedirect.com/science/article/pii/S2213305415300199"
"Positive","Land area gain (physical only)","Nadikdik Atoll","Marshall Islands","Micronesia","5.9000","172.1500","Atoll/group centroid","Also known as Knox Atoll, southeast of Mili Atoll in the southern RMI.","Ford & Kench (2014) tracked island recovery following a 1905 typhoon and found an entirely new island had formed, with others still recovering over a century later.","Ford & Kench (2014), cited in Ford & Kench (2015)","https://www.sciencedirect.com/science/article/pii/S2213305415300199"
"Positive","Land area gain (physical only)","Tuvalu (all 101 islands)","Tuvalu","Polynesia","-7.1095","177.6493","National centroid","Tuvalu country centroid. Row covers all 101 islands across nine atolls, not a single site.","A 2.9% net increase in land area (73.5 ha) over four decades, with 74% of islands increasing in size and land area increasing on eight of nine atolls, despite local sea level rising at twice the global average. NOTE: area gain does not raise island elevation.","Kench, Ford & Owen, Nature Communications (2018)","https://www.nature.com/articles/s41467-018-02954-1"
"Positive","Land area gain (physical only)","Regional baseline (709 islands, 30 atolls)","Pacific & Indian Oceans","Regional","","","No point - regional","Pacific and Indian Ocean atolls.","Duvat's 2019 review of 709 islands across 30 atolls found 73.1% stable in area, 15.5% increased and 11.4% decreased. In FSM, analysis of 104 islands across 16 atolls found 46% of shorelines with statistically significant accretion.","Duvat (2019), WIREs Climate Change; Sengupta, Ford & Kench (2021), Geomorphology","https://www.sciencedirect.com/science/article/abs/pii/S0169555X20305572"
